Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
173,Avril Lavigne,Wish You Were Here,2011-03-04,0.456,0.862,4,-3.818,1,0.05,0.0337,0,0.172,0.337,165.991,225680,4
174,Cat Power,Metal Heart,1998-09-22,0.439,0.337,6,-11.212,1,0.0276,0.873,0.0848,0.109,0.0493,115.244,242400,4
175,Howie Day,Collide,2003-10-07,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,249120,4
176,The Script,The Man Who Can't Be Moved,2008-07-14,0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,241373,4
177,Kodaline,Brother,2017-07-01,0.493,0.636,10,-5.894,1,0.049,0.341,0,0.201,0.228,120.136,201980,4
178,Lewis Capaldi,Someone You Loved,2018-11-08,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
179,The Mistrals,7 Rings - Acoustic Version,2019-02-15,0.554,0.293,8,-9.789,0,0.0411,0.832,0,0.108,0.592,100.116,191311,4
180,Shawn Mendes,Mercy - Acoustic Guitar,2017-01-27,0.622,0.346,11,-6.522,0,0.0311,0.747,0,0.113,0.428,144.069,221200,4
181,Christina Perri,Jar of Hearts,2011-05-10,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,246587,4
182,Franz Bengtsson,A Heart Made of Yarn,2020-02-21,0.338,0.102,10,-20.057,0,0.0432,0.987,0.943,0.124,0.0785,85.888,203070,3
183,Mano Vecina,La vérité,2020-02-18,0.374,0.00357,11,-21.408,0,0.0509,0.982,0.932,0.106,0.18,67.23,147407,4
184,Lenovie,Problématique,2020-03-24,0.401,0.036,9,-21.283,1,0.135,0.992,0.92,0.106,0.558,199.767,103147,3
185,Artemio Li Fonti,Buonanotte e sogni d’oro,2019-11-15,0.211,0.0106,7,-30.884,0,0.0387,0.98,0.842,0.0934,0.0394,67.363,224000,4
186,evighet.,Bibo No Aozora,2017-12-22,0.131,0.146,8,-15.946,0,0.0377,0.932,0.951,0.117,0.0796,92.425,198031,4
187,Jutila,October stroll,2019-11-15,0.468,0.0282,7,-28.772,0,0.0415,0.994,0.922,0.141,0.329,95.767,129250,3
188,Zara Hayward,That moment,2019-11-29,0.413,0.0792,10,-23.854,1,0.0487,0.996,0.968,0.111,0.426,91.33,106500,4
189,Philip Glass,Truman Sleeps - From “The Truman Show” / Short Version,2015-02-23,0.266,0.00361,8,-29.735,1,0.052,0.995,0.925,0.0723,0.0631,94.861,160453,4
190,Otto Totland,Solêr,2014-01-31,0.333,0.0634,3,-26.645,0,0.0516,0.994,0.927,0.136,0.45,168.232,155880,4
191,Alina Yanovna,Toska,2020-04-22,0.492,0.017,7,-24.705,0,0.0675,0.995,0.973,0.116,0.184,75.709,126889,3
192,Levandau,Reflective Distance,2019-11-26,0.509,0.0309,10,-28.694,0,0.0665,0.995,0.962,0.1,0.192,97.965,131736,4
193,Sufjan Stevens,Redford (for Yia-Yia and Pappou),2003-07-01,0.321,0.0394,8,-23.356,0,0.0349,0.994,0.914,0.106,0.0384,62.229,122027,4
194,Hania Rani,Esja,2019-04-05,0.416,0.127,4,-27.47,0,0.0408,0.987,0.901,0.104,0.176,143.155,261307,1
195,Jenifer Quai,No More,2019-11-26,0.473,0.0183,0,-25.025,0,0.0448,0.994,0.931,0.122,0.262,52.452,149119,4
196,Caitrìona Caitir,Morass,2019-08-09,0.158,0.0196,0,-27.568,0,0.0427,0.974,0.821,0.141,0.0542,69.626,130261,4
197,by Gunnarsson,Water,2018-04-27,0.276,0.113,3,-20.611,1,0.0346,0.96,0.95,0.0931,0.211,132.911,192000,3
198,Carl Bonet,Fluctuations of the Mind,2019-12-27,0.495,0.0152,0,-27.078,0,0.042,0.96,0.966,0.111,0.0547,79.62,196487,4
199,Kolbrun Stiger,Raðljóst,2019-08-09,0.379,0.078,2,-20.91,1,0.0384,0.975,0.95,0.106,0.0995,95.149,133746,4
200,Esperanza,Reminisce,2020-03-30,0.37,0.118,10,-26.125,1,0.0452,0.986,0.927,0.108,0.0978,95.863,183368,3
201,Elliot Ziegler,Guarda,2019-05-25,0.334,0.0471,10,-23.17,0,0.0496,0.994,0.966,0.107,0.313,136.455,98750,4
202,Midnite String Quartet,lovely,2019-11-01,0.28,0.104,4,-21.49,0,0.0419,0.962,0.683,0.0741,0.118,96.664,196283,4
203,Delit Quirion,Le marchand de sable est passé,2019-10-04,0.17,0.00965,7,-32.618,0,0.0381,0.994,0.895,0.116,0.0446,70.546,225000,4
204,Nikola Zolkiewska,Smoothness,2018-01-11,0.325,0.164,0,-17.19,0,0.0438,0.958,0.899,0.112,0.211,49.196,153846,3
205,Elder Lockhart,"Fac, si facis",2019-12-27,0.379,0.0345,4,-31.162,1,0.054,0.995,0.946,0.0884,0.288,73.364,104250,4
206,Leo Finka,Fade Away,2020-06-01,0.299,0.0138,6,-24.367,0,0.0437,0.989,0.907,0.11,0.108,61.947,168580,5
207,Martin Gauffin,Append,2020-06-19,0.43,0.142,5,-16.176,0,0.0337,0.886,0.961,0.0863,0.0724,71.885,141720,4
208,Landwerm,Dawn,2017-12-15,0.184,0.2,4,-16.465,1,0.0409,0.869,0.798,0.111,0.0381,86.196,109295,4
209,Milo Edale,Law of Attraction (solo version),2019-11-12,0.366,0.0264,9,-29.576,0,0.0497,0.986,0.914,0.112,0.0642,64.605,215156,3
210,CUVD Ensemble,Remembering Touch,2020-01-22,0.208,0.015,0,-30.307,0,0.0352,0.985,0.96,0.107,0.0887,99.934,239789,4
211,Agnes Obel,It's Happening Again (Instrumental),2016-11-18,0.116,0.251,10,-16.853,1,0.0322,0.78,0.905,0.48,0.0683,172.875,260287,3
212,Sumsar,Amorous Rebound Pt 2,2020-01-05,0.363,0.12,10,-20.54,0,0.0314,0.922,0.896,0.107,0.231,100.43,142017,1
213,Leon Noel,Mémorie d’amour,2019-08-11,0.546,0.0163,9,-31.775,0,0.0359,0.99,0.902,0.0975,0.249,81.998,204011,3
214,Yann Tiersen,"Comptine d'un autre été, l'après-midi",2001-04-23,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,140733,4
215,8th Floor Wide,Cor Meum,2018-05-06,0.355,0.0285,7,-22.815,0,0.0407,0.988,0.932,0.109,0.0995,165.638,196923,4
216,Roman Jensen,Vorfreude,2020-05-30,0.423,0.0204,6,-25.586,0,0.052,0.995,0.932,0.105,0.274,131.555,148224,3
217,Milo Stavos,Perfection,2020-06-24,0.297,0.00634,10,-30.258,1,0.037,0.988,0.894,0.106,0.0741,68.417,227266,3
218,Fatima Fuentes,listen before I go,2019-08-16,0.425,0.0117,9,-24.166,0,0.0751,0.996,0.961,0.104,0.131,205.213,229625,4
219,Charlotte Funke,Episode,2018-03-27,0.368,0.00785,7,-30.75,1,0.047,0.992,0.966,0.102,0.181,74.686,150439,4
220,Marcel Leblanc,Marché St Quentin,2020-01-22,0.351,0.129,7,-20.754,1,0.0305,0.865,0.943,0.112,0.0676,68.004,185851,3
221,Cadet de l'espace,Soul Lotion,2018-06-15,0.213,0.00257,0,-31.156,0,0.04,0.987,0.897,0.163,0.14,68.041,210000,4
222,La Brea String Section,"A Time for us - From ""Romeo and Juliet""",2017-12-13,0.0705,0.235,10,-13.92,0,0.0363,0.848,0.755,0.0934,0.075,76.748,215684,4
223,Julius Aston,A Clear Mind,2018-05-08,0.268,0.0058,10,-31.607,1,0.0466,0.992,0.929,0.124,0.126,69.709,173697,3
224,Pataki Gisella,Zala,2019-08-10,0.331,0.231,5,-23.424,1,0.0445,0.982,0.963,0.0915,0.272,131.4,113625,3
225,Insignificant Others,Posthumous,2018-06-15,0.287,0.0144,0,-26.028,0,0.0449,0.994,0.937,0.109,0.138,60.833,189074,4
226,Edo Vibes,Shimbashi,2018-05-17,0.348,0.0189,9,-25.765,0,0.0454,0.994,0.944,0.113,0.21,67.563,182166,4
227,Wanderer's Trove,When It Hits You,2019-08-23,0.656,0.325,0,-7.83,0,0.0397,0.885,0.847,0.121,0.312,89.754,176122,4
228,Ave Air,The Music Box,2019-09-06,0.558,0.185,8,-18.487,0,0.0315,0.972,0.906,0.382,0.123,111.985,197679,3
229,Claude Allaire,1st Mvm. Sonate Au Clair De Lune,2007-07-24,0.395,0.128,1,-23.79,0,0.0437,0.995,0.916,0.0978,0.225,77.114,330733,1
230,Sigimund,The Watchtower,2016-07-20,0.248,0.0274,7,-28.768,0,0.0333,0.991,0.922,0.153,0.159,75.124,205578,1
231,Léonie Deval,Gran Pilastro,2018-10-18,0.536,0.087,9,-23.244,0,0.096,0.995,0.965,0.11,0.279,65.387,65000,4
232,Una Luna,Il Vicolo,2018-05-06,0.422,0.0454,3,-24.976,1,0.0489,0.961,0.93,0.107,0.14,118.184,200000,3
233,Danny Mulhern,Opening Titles,2018-10-12,0.43,0.0283,11,-31.791,0,0.036,0.979,0.781,0.264,0.112,154.396,150440,3
234,Milo Edale,Waltz For Tomorrow,2019-02-08,0.243,0.161,4,-12.17,0,0.0329,0.914,0.00109,0.111,0.204,73.174,128076,3
235,Charlie Key,Song for A,2016-07-16,0.466,0.00472,5,-28.546,1,0.0531,0.992,0.938,0.0712,0.233,81.181,145812,4
236,Moux,Back Home,2017-01-06,0.38,0.00163,10,-26.82,1,0.0472,0.993,0.96,0.134,0.402,69.924,160467,3
237,Diminuendo,Sweetness,2018-01-19,0.134,0.0913,4,-16.059,0,0.0416,0.976,0.956,0.101,0.0353,82.057,140148,4
238,Chieloka,Hiraeth,2019-06-14,0.0926,0.00624,7,-33.736,0,0.0394,0.989,0.867,0.106,0.0646,73.61,181000,4
239,Samuel Lindon,La Tour - Orchestral Version,2019-06-17,0.179,0.059,2,-18.992,0,0.0387,0.985,0.951,0.101,0.0845,74.702,139216,4
240,Teodor Wolgers,lament,2019-06-14,0.322,0.029,1,-27.033,0,0.0408,0.995,0.93,0.0799,0.146,129.529,183000,4
241,Snow in April,Magnolia,2019-07-19,0.332,0.0219,7,-21.982,0,0.0426,0.993,0.922,0.104,0.283,167.371,148407,3
242,Trevor Kowalski,Folk Story,2019-02-22,0.356,0.0464,8,-19.662,0,0.0328,0.959,0.895,0.133,0.0706,84.906,164632,4
243,Lorraine J. Kovach,Dear Lara,2019-02-10,0.582,0.0305,7,-20.496,0,0.095,0.995,0.964,0.111,0.445,76.68,83750,3
244,Les Clouds,Blessing In Disguise,2019-01-18,0.303,0.269,9,-17.458,0,0.0351,0.915,0.849,0.152,0.0368,102.55,231818,4
245,Evelyn Stein,Norwegian Beauty,2017-02-07,0.472,0.00555,7,-27.236,0,0.0488,0.996,0.938,0.0952,0.212,71.045,127850,4
246,Agnes Obel,September Song,2013,0.23,0.0969,0,-27.045,1,0.0415,0.934,0.76,0.106,0.129,134.774,202594,1
247,Billy Frame,Northern Light,2016-07-31,0.668,0.00506,5,-26.865,0,0.0617,0.969,0.856,0.115,0.563,119.96,191676,3
248,Clarence Öfwerman,Winter Waltz,2019-02-07,0.525,0.207,0,-15.488,0,0.163,0.995,0.962,0.119,0.33,69.449,225250,4
249,Goldmund,Clement Danes,2008-09-05,0.343,0.00564,10,-24.048,0,0.053,0.995,0.887,0.119,0.142,65.973,251907,4
250,Max Rossiter,Courte promenade,2019-02-10,0.511,0.0439,9,-20.239,0,0.0352,0.992,0.922,0.0874,0.423,100.836,80000,4
251,Joe Mentina,Lamento,2019-05-07,0.703,0.153,9,-23.74,0,0.057,0.992,0.961,0.0892,0.074,139.962,135029,4
252,Piotr Miteska,Squares of life,2016-07-20,0.27,0.0102,11,-22.34,0,0.0386,0.993,0.918,0.0919,0.06,71.967,165035,4
253,Smolenka,Eternal recall,2019-05-13,0.3,0.00625,11,-23.032,0,0.0367,0.97,0.84,0.11,0.158,146.828,136408,3
254,Evelyn Haidu,All That Was,2019-05-29,0.573,0.0135,0,-29.18,1,0.0771,0.995,0.968,0.0793,0.139,68.318,209932,4
255,Renato Luigi,Bergamo,2019-02-10,0.265,0.0365,0,-24.41,1,0.0501,0.991,0.926,0.0872,0.168,69.552,126888,4
256,Laura Frey,Acacia,2019-03-14,0.363,0.0969,9,-19.193,0,0.0378,0.992,0.94,0.109,0.434,100.421,95750,4
257,Mélanie Laurent,Début,2011-05-02,0.377,0.0239,0,-30.245,1,0.0403,0.99,0.882,0.0998,0.0629,119.263,160067,4
258,Projet Calmant,Impasse des Bourdonnais,2019-03-14,0.26,0.193,7,-23.638,0,0.0374,0.995,0.946,0.108,0.353,116.607,67896,3
259,Charles Bolt,Hush Now,2019-03-23,0.459,0.0808,2,-21.681,0,0.0806,0.994,0.97,0.1,0.331,151.728,109573,4
260,Jon Brion,Row - Score,2004-01-01,0.629,0.151,11,-19.033,1,0.0738,0.955,0.945,0.109,0.202,75.982,59933,4
261,Qiao Chu,Pacifique,2019-03-21,0.365,0.0323,0,-21.9,0,0.0626,0.987,0.95,0.106,0.208,65.08,64000,3
262,Eoin Henderson,Across the river,2019-03-21,0.492,0.119,10,-19.657,0,0.0674,0.994,0.929,0.112,0.135,117.185,55750,4
263,Filomena,Only Child,2019-03-21,0.376,0.0338,7,-18.648,1,0.0384,0.934,0.925,0.106,0.135,140.734,114875,1
264,Noemi Nucci,Vacillation,2019-03-21,0.376,0.0172,5,-21.885,1,0.0414,0.989,0.914,0.116,0.251,133.421,75667,1
265,Gavin Luke,Solace,2019-03-29,0.283,0.0609,7,-20.245,0,0.0334,0.977,0.861,0.102,0.101,72.947,162062,4
266,Joaquin Alejandro,Florentin,2019-04-03,0.375,0.0635,3,-24.017,0,0.0534,0.993,0.948,0.11,0.324,116.979,118361,4
267,Slow Meadow,Borderland Sorrows,2017-11-17,0.323,0.107,3,-19.463,1,0.0335,0.944,0.935,0.0792,0.0719,81.952,223985,4
268,Dilaz,On My Mind,2019-04-05,0.503,0.0395,11,-23.81,0,0.0374,0.987,0.888,0.119,0.202,97.45,195000,4
269,Enid Fergus,Massenet,2019-04-01,0.359,0.0294,8,-18.613,0,0.0447,0.984,0.924,0.106,0.281,98.452,271149,3
270,Jose Carcavelos,Camera Obscura,2019-04-03,0.375,0.0668,0,-20.308,0,0.0452,0.978,0.953,0.103,0.261,132.733,131186,3
271,Joan Sterling,Heliotrope,2019-04-04,0.357,0.136,1,-20.029,0,0.0357,0.98,0.952,0.11,0.228,155.585,132633,5
272,Max Swan,Downstreams,2018-05-06,0.403,0.0444,10,-25.15,0,0.0487,0.991,0.956,0.112,0.156,107.42,138810,4
273,Gavin Luke,Courage,2019-03-29,0.309,0.177,10,-20.914,1,0.0424,0.947,0.875,0.121,0.181,114.261,148720,4
274,Sufi Sheman,Sarabande,2019-04-04,0.558,0.0576,1,-21.296,0,0.0396,0.993,0.947,0.106,0.222,72.189,126545,4
275,Cauã Cavalcanti Azevedo,That kind of day,2019-03-21,0.232,0.119,9,-21.061,0,0.0373,0.993,0.903,0.106,0.34,195.998,148812,4
276,Linda Stinnett,Ladoga,2019-03-21,0.3,0.0719,3,-20.092,1,0.0434,0.982,0.912,0.0929,0.0779,199.311,135875,4
277,Leroy Denby,Ponderosa pine,2019-03-31,0.518,0.0535,6,-21.312,1,0.0515,0.996,0.935,0.109,0.248,76.198,171000,4
278,Elliot Ziegler,Portmeirion,2019-05-25,0.4,0.0944,9,-21.767,0,0.046,0.993,0.94,0.148,0.223,95.416,131000,4
279,Odin Sørlie,Lucida,2019-06-07,0.377,0.0306,5,-28.678,1,0.0423,0.995,0.92,0.108,0.235,93.243,127250,3
280,Jan Kubec,Toužebný,2019-06-07,0.218,0.041,4,-30.019,0,0.0426,0.992,0.845,0.113,0.382,176.439,134750,4
281,Mewael Yemane,In your eyes,2019-06-01,0.293,0.0911,3,-25.457,0,0.0539,0.99,0.94,0.101,0.216,117.453,136500,3
282,Johannes Bornlöf,Wolfpack,2019-06-07,0.367,0.0367,11,-23.052,0,0.0404,0.985,0.944,0.0919,0.0814,69.542,211620,3
283,Asta Hedegaard,My love is gone,2019-03-31,0.488,0.124,1,-20.653,0,0.0532,0.995,0.889,0.104,0.224,93.52,134500,3
284,Leon Noel,"Notre Dame, Notre Patrimoine",2019-04-22,0.497,0.0156,0,-32.479,0,0.0388,0.992,0.932,0.0933,0.243,81.645,192312,3
285,Vilhelm Brandt,In Your Arms,2019-04-23,0.796,0.0392,2,-19.34,0,0.066,0.994,0.958,0.0963,0.134,104.997,155706,3
286,Opus Monik,Mellifluous,2019-04-03,0.187,0.0906,0,-21.033,1,0.0384,0.899,0.961,0.11,0.0715,72.285,118295,3
287,Carmín Aponte,La mariposa,2019-03-31,0.391,0.142,7,-20.42,0,0.0339,0.994,0.887,0.111,0.655,111.491,134500,3
288,Amanda Björk,If she ever tells me,2019-04-05,0.397,0.0505,2,-20.018,0,0.0428,0.994,0.892,0.109,0.174,167.95,108187,4
289,Figaro Castello,Purple Dreams,2018-09-19,0.599,0.254,2,-23.687,0,0.0421,0.989,0.915,0.0928,0.34,113.971,147108,3
290,Arelius,Storm Trooper,2018-11-02,0.301,0.151,2,-19.589,0,0.038,0.976,0.866,0.109,0.114,143.107,138970,4
291,Rand Aldo,The Eternal Scene,2018-09-21,0.39,0.00633,8,-33.545,1,0.0423,0.98,0.943,0.0958,0.229,70.009,180824,4
292,Bruno Joel,Just a Dream,2019-05-06,0.549,0.0118,1,-26.07,1,0.0595,0.994,0.938,0.0985,0.273,69.533,135209,5
293,Johann Eder,In the Past,2019-05-20,0.151,0.0281,2,-27.972,0,0.0385,0.909,0.895,0.122,0.0536,78.815,116105,5
294,Max Richter,The End of All Our Exploring,2017-06-02,0.507,0.0249,3,-32.35,1,0.0409,0.995,0.931,0.0944,0.124,149.976,215333,4
295,Mavis Marchena,Broertje,2019-05-10,0.36,0.0656,10,-23.484,0,0.0547,0.996,0.965,0.0969,0.36,167.079,97000,3
296,Antoine Minot,Courage,2019-05-05,0.307,0.0484,5,-25.137,1,0.0455,0.989,0.92,0.122,0.0948,167.798,254071,3
297,Avaldi,Like When We were Young,2019-05-02,0.446,0.228,10,-22.732,1,0.0312,0.977,0.897,0.0903,0.278,170.89,320610,3
298,Simeon Walker,Turn,2017-11-24,0.379,0.0405,0,-25.601,0,0.0461,0.97,0.871,0.095,0.0927,115.295,372000,4
299,Tyra Lindqvist,Berceuse,2019-06-01,0.438,0.00573,1,-32.281,0,0.046,0.996,0.933,0.0782,0.466,126.731,159500,5
300,Wynton Davidson,Omnipresence,2019-04-09,0.488,0.0267,0,-24.199,0,0.0677,0.991,0.966,0.105,0.257,173.201,165000,4
301,Joseph McGrahl,Dreaming of You,2019-04-29,0.454,0.0281,2,-23.2,0,0.0343,0.968,0.882,0.084,0.0563,101.763,157372,4
302,Ellie Karing,Mio's Lullaby,2019-05-05,0.632,0.0456,8,-23.9,0,0.04,0.992,0.969,0.106,0.36,87.625,115750,4
303,Alexander Molina,Linger,2019-05-13,0.291,0.027,0,-27.265,0,0.0426,0.982,0.892,0.137,0.177,72.176,163013,3
304,Les Clouds,Travels/Memories,2018-10-30,0.406,0.107,0,-21.323,1,0.0454,0.994,0.913,0.121,0.106,140.309,184800,4
305,Crystal Fragments,Aquamarine,2019-05-20,0.263,0.0675,9,-24.308,0,0.0351,0.946,0.837,0.105,0.128,79.694,172525,4
306,Domenik Kalinsky,Sleepless,2019-06-14,0.191,0.236,1,-20.178,1,0.0454,0.94,0.915,0.104,0.0749,197.08,173021,4
307,Martin Lindgaarden,Montauk,2018-08-10,0.378,0.0369,3,-25.859,0,0.0369,0.99,0.896,0.101,0.12,71.997,178974,4
308,Sebastián Escofet,Progresión,2019-07-05,0.349,0.129,7,-18.857,1,0.032,0.746,0.778,0.0928,0.0778,74.918,109533,4
309,Karen Harding,Undo My Heart,2020-06-12,0.605,0.873,11,-6.267,1,0.035,0.0352,0.0041,0.0644,0.343,122.998,180419,4
310,BRONSON,HEART ATTACK (feat. lau.ra),2020-04-28,0.735,0.65,6,-5.815,0,0.0737,0.161,0.21,0.109,0.122,122.048,209600,4
311,Kygo,Someday,2020-05-29,0.612,0.686,7,-6.838,1,0.12,0.173,0,0.141,0.326,122.115,223716,4
312,Avicii,Heart Upon My Sleeve (feat. Imagine Dragons),2019-06-06,0.588,0.601,4,-5.983,0,0.0332,0.316,0,0.148,0.38,126.06,254166,3
313,EDX,I Found You (Neptune),2020-05-15,0.822,0.917,1,-4.689,1,0.0557,0.0204,0.0132,0.0746,0.893,124.023,158735,4
314,Coldplay,Something Just Like This - Tokyo Remix,2017-06-23,0.365,0.86,11,-6.996,0,0.0586,0.00173,0.00112,0.988,0.143,102.863,272987,4
315,Franky Wah,Come Together,2020-05-29,0.661,0.908,0,-5.023,1,0.03,0.00364,0.000164,0.233,0.187,127.989,187500,4
316,Nick Bateman,Forget the Money,2020-05-29,0.47,0.717,8,-5.889,0,0.308,0.223,0.568,0.314,0.516,149.93,160000,4
317,ILLENIUM,All Together (with OEKIIN),2019-08-16,0.437,0.688,5,-5.315,1,0.0364,0.0656,0,0.156,0.193,130.114,238558,4
318,Danny Olson,Hide and Seek - Don Diablo Edit,2020-04-17,0.369,0.452,6,-8.166,0,0.0464,0.397,0,0.0929,0.167,123.997,298064,4
319,Cyril M,Only You,2020-06-12,0.365,0.703,9,-8.384,1,0.057,0.459,0.000118,0.28,0.289,101.753,169143,4
320,Kaimo K,Black Light - Uplifting Mix,2020-01-17,0.443,0.994,7,-5.022,1,0.32,0.133,0.00666,0.327,0.162,137.988,233043,4
321,Alok,Never Let Me Go,2017-05-05,0.668,0.774,0,-5.377,1,0.038,0.383,5.82e-06,0.0863,0.493,123.992,183371,4
322,Goons,Catch 22,2019-09-13,0.618,0.683,4,-4.621,1,0.0936,0.0295,0,0.0753,0.333,126.029,188839,4
323,Bad Computer,Sanctuary,2019-07-09,0.783,0.761,7,-5.632,1,0.074,0.429,0.384,0.729,0.338,128.018,253599,4
324,ODESZA,Intro,2017-09-08,0.652,0.0475,9,-27.987,1,0.17,0.485,0.231,0.143,0.607,59.608,63972,3
325,Breathe Carolina,Better,2019-11-15,0.582,0.627,1,-7.573,1,0.258,0.225,0,0.192,0.427,119.806,196000,4
326,Anthony Keyrouz,Love Of My Life,2020-04-17,0.691,0.836,10,-6.933,1,0.248,0.188,0.00318,0.191,0.319,126.011,172370,4
327,Marshmello,Proud,2019-07-03,0.521,0.716,0,-4.999,1,0.0364,0.0372,0,0.148,0.12,77.562,191000,4
328,Hayden Haze,Ready For You,2020-05-22,0.538,0.859,8,-4.609,1,0.0384,0.0443,0.00274,0.143,0.275,127.984,226875,4
329,DubVision,Hope,2019-07-19,0.586,0.719,0,-6.142,1,0.042,0.00418,6.23e-06,0.134,0.344,124.912,203712,4
330,Hot Since 82,Remains of the Day,2019-07-26,0.698,0.842,6,-8.547,1,0.0356,0.000282,0.94,0.104,0.439,122.004,325574,4
331,Gareth Emery,Elise,2020-04-10,0.469,0.526,10,-12.986,1,0.0477,0.144,4.99e-05,0.101,0.14,129.966,234508,4
332,Avicii,Never Leave Me (feat. Joe Janiak),2019-06-06,0.629,0.662,4,-5.581,1,0.0939,0.303,0,0.0762,0.45,82.368,171726,4
333,GATTÜSO,I Will Play (Vip Remix),2019-07-26,0.577,0.76,3,-4.01,0,0.0332,0.124,8.42e-06,0.0863,0.316,127.904,224209,4
334,ILLENIUM,Angel - Lonely Prelude,2019-08-16,0.275,0.523,9,-10.406,1,0.0568,0.985,0.456,0.331,0.296,69.428,41290,3
335,Justus,Time To Say Goodbye (feat. Maria Mathea),2020-05-08,0.337,0.728,5,-5.298,1,0.0286,0.109,0.139,0.249,0.172,125.963,184442,4
336,Bruno Martini,Somebody That You Loved,2019-08-02,0.707,0.721,7,-7.0,0,0.039,0.329,0.000309,0.0819,0.444,109.977,215998,4
337,DJ Licious,Young Blood (feat. Bright Sparks),2019-10-18,0.637,0.809,1,-8.436,1,0.0446,0.164,0.432,0.0901,0.172,120.013,196737,3
338,William Black,Drown the Sky,2019-08-14,0.495,0.714,5,-5.058,1,0.0369,0.257,0,0.105,0.242,144.882,221793,4
339,Forester,We Found Home (feat. Kwesi),2020-06-19,0.587,0.647,0,-6.65,0,0.039,0.226,0,0.522,0.169,118.012,197288,4
340,Gareth Emery,Somebody,2019-12-06,0.63,0.68,8,-7.345,1,0.0346,0.102,0,0.0944,0.471,113.036,210004,4
341,Above & Beyond,Thing Called Love - Mat Zo Remix,2011,0.721,0.677,6,-7.436,1,0.0736,0.0284,0.76,0.091,0.727,128.015,512840,4
342,Excision,Oxygen,2019-09-13,0.516,0.62,4,-5.894,1,0.0325,0.266,0,0.116,0.148,145.067,218750,4
343,Kryder,Stay With Me,2020-06-19,0.595,0.663,2,-5.494,1,0.0315,0.0132,5.57e-05,0.119,0.402,126.972,186610,4
344,Ruben de Ronde,Shadow Of Us (Electronic Family 2019 Anthem),2019-06-28,0.595,0.781,1,-5.894,1,0.0461,0.00613,0.000195,0.244,0.334,127.983,183871,4
345,Avicii,Fades Away (feat. Noonie Bao),2019-06-06,0.53,0.525,0,-8.319,1,0.0585,0.228,2.2e-06,0.0812,0.225,134.236,178958,4
346,Rynx,All For You,2019-07-31,0.622,0.863,8,-6.072,0,0.0777,0.0709,7.21e-05,0.182,0.473,88.012,201573,4
347,ILLENIUM,Gorgeous (& Blanke with Bipolar Sunshine),2019-08-16,0.52,0.881,6,-4.249,0,0.116,0.047,0.000855,0.331,0.291,180.013,277317,4
348,Alex Kunnari,Heart Will Follow,2019-11-01,0.533,0.797,9,-4.989,1,0.032,0.061,0.0154,0.168,0.447,131.994,216406,4
